"amazon_covid_titles"t	"amazon_covid_starrating"t	"amazon_covid_jobtitles"t	"amazon_covid_location"t	"amazon_covid_reviewdate"t	"amazon_covid_CONS"t	"amazon_covid_PROS"t	"STATE"t	"MONTH"
"68"t	"\"You're just a number\""t	"3.0"t	"Current Employee - Business Development Manager"t	"Seattle, WA"t	"April 11, 2020"t	"* Normal expectations are to work nights and weekends - every week, every month of the year
* There is no work life balance, work life harmony, whatever they want to call it -managers will blatantly ask you to work on the weekend
* IT tools are poor at best - for example they use internal tool workdocs - here is how sharing goes - hey Dave when your in the file, name the file filename1_dave.doc, when your done name it filename2.doc, when I go in I'll name the file filename2_steve.doc that way you won't edit at the same time.   Alternative is Quip - a poor man google doc
* expect to just have a mountain of work which you will never get through and be constantly hassled about it training, weekly reports, extracurricular contributions, etc. etc. the list goes on and on
* because of this environment, it's getting harder and harder for Amazon to hire - there are reqs which are open for >10 months where they can't find someone to come in
* don't expect to be promoted 90% of people come in and stay at same level or leave
* compensation - mainly stock based, stock has been nearly flat or down for while, not sure how they will keep talent,  401k match is a joke"t	"* Very results driven company, everything you do counts
* Nice brand name to work for
* some tools like Chime are really good for internal and external communications
* everyone is generally helpful and willing to help"t	"WA"t	"Apr"
"69"t	"\"**Beware** what your getting into - there is a reason there are lots of openings\""t	"3.0"t	"Current Employee - Distribution Supervisor"t	"Seattle, WA"t	"December 15, 2020"t	"Could be stressful working with highly competitive individuals"t	"great team, efficient processes, good boss"t	"WA"t	"Dec"
"70"t	"\"in charge of overseeing delivery\""t	"5.0"t	"Current Employee - Anonymous Employee"t	"Seattle, WA"t	"January 10, 2016"t	"You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you."t	"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome."t	"WA"t	"Jan"
"71"t	"\"You Get What You Put In\""t	"3.0"t	"Current Employee - Senior Engineering Manager"t	"Seattle, WA"t	"February 20, 2016"t	"The management process is abusive, and I'm currently a manager.  I've seen too much \"behind the wall\" and hate how our individual performers can be treated.  You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking."t	"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome."t	"WA"t	"Feb"
"72"t	"\"Exciting Work, Abusive Culture\""t	"5.0"t	"Current Employee - Software Development Manager"t	"Phoenix, AZ"t	"December 3, 2018"t	"- Can be overwhelming, very steep learning curve
- Can be difficult to keep up if you are not self motivated"t	"Jeff Bezos and his \"S-Team\" are brilliant and continue to make great decisions for long-term growth.  

You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things.  The diversity of the potential work and innovation can be very alluring.  I've often called Amazon my \"Sexy Mistress...she's emotionally abusive, but she's so sexy that I go back for more punishment.\""t	"AZ"t	"Dec"
"73"t	"\"Amazing company and the most driven and smartest of the people\""t	"5.0"t	"Current Employee - Software Development Manager"t	"Phoenix, AZ"t	"February 23, 2018"t	"No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse."t	"- You can learn a lot very quickly in a very short time
- Surrounded with nothing but incredibly smart and driven individuals.
- Compensation is well beyond my expectations, and more than suitable.
- Exciting projects all across the company that keep you interested and focused.
- Amazon is changing the world"t	"AZ"t	"Feb"
"74"t	"\"An Amazing Place to Work\""t	"4.0"t	"Current Employee - Software Development Manager"t	"Seattle, WA"t	"December 17, 2013"t	"- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today.  It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone."t	"I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for talks about how important the customer is, but on day 2, they're forgotten. Amazon seems to genuinely focus on what's best for the customer, and it's awesome to be in meetings where people actually bring that up, and make decisions focused on long-term customer satisfaction.

The opportunities to learn here are literally unlimited, and the opportunity to take on new responsibility is as well. I honestly believe you can be as awesome as you want here."t	"WA"t	"Dec"
"75"t	"\"Can be amazing for some people, horrible for others\""t	"5.0"t	"Current Employee - Pre-Sales Engineer"t	"Herndon, VA"t	"April 17, 2020"t	"Big company and yes sometimes it takes a while to find the information you are looking for.  Global company and sometimes that information is with someone who is on other side of the world."t	"Amazon is doing lot's of cool stuff...but lots of boring stuff too.  There are really well run teams...and very badly run teams.  The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.

 - Amazon is built, quite deliberately, to be Darwinian.  You can generally expect that anyone who's been here for more than 2 years is competent and motivated or they wouldn't have survived.  You can count on them as long as your priorities are aligned.  There aren't many slackers here, and they don't survive long.
  - We work on so much stuff that there's always an opportunity to find amazing cool stuff to work on (note that it's an 'opportunity', one that you have to pursue)
  - A chance to make a huge difference
  - A place where you can learn a lot about all kinds of things, both technical and about yourself
  - Amazon encourages high mobility - even your manager can't prevent you from moving to another team within 6 weeks (normally, more than a few months under unusual conditions).
  - Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain"t	"VA"t	"Apr"
"76"t	"\"Great company, endless opportunities\""t	"5.0"t	"Current Employee - IT Support"t	"Nashville, TN"t	"December 16, 2020"t	"Organizational skills are lacking bad"t	"Big company with a small company feel.   Very entrepreneurial.  Management facilitates your ideas that push the business forward"t	"TN"t	"Dec"
"77"t	"\"Am\""t	"4.0"t	"Current Employee - Manager, Data Engineering"t	"Seattle, WA"t	"December 16, 2020"t	"Long hours very fast paced"t	"Good benefits , big company, every where"t	"WA"t	"Dec"
"78"t	"\"Great place to work\""t	"4.0"t	"Current Employee - Whs Specialist"t	"Garner, NC"t	"December 14, 2020"t	"Work 10 hrs rate some time bad management"t	"Very smart people, you can learn a lot"t	"NC"t	"Dec"
"79"t	"\"WHS Specialist at Amazon\""t	"5.0"t	"Current Employee - Amazon Process Assistant"t	"Wilmington, OH"t	"December 15, 2020"t	"poor communication, bad pay, had to work a lot of hours"t	"Experience, Resume builder, Decent pay"t	"OH"t	"Dec"
"80"t	"\"Great place to work\""t	"5.0"t	"Current Employee - Solutions Architect"t	"Washington, DC"t	"December 14, 2020"t	"The pace and work-life balance relate to the organization (and team)."t	"Amazon is a great place to work, they have great hours and shift options and the benefits are amazing."t	"DC"t	"Dec"
"81"t	"\"WHS Specialist at Amazon\""t	"5.0"t	"Current Employee - Pre-Sales Engineer"t	"Atlanta, GA"t	"April 17, 2020"t	"New hires tend to raise the bar which makes for a competitive promotion environment."t	"Experience, Resume builder, Decent pay"t	"GA"t	"Apr"
"82"t	"\"Great place to work\""t	"5.0"t	"Current Employee - Process Associate"t	"San Antonio, TX"t	"December 16, 2020"t	"Long hours, repetitive, tedious, high intensity"t	"Amazon is a great place to work, they have great hours and shift options and the benefits are amazing."t	"TX"t	"Dec"
"83"t	"\"AWS is a great place to grow your career\""t	"5.0"t	"Current Employee - Senior Consultant"t	"Baltimore, MD"t	"December 16, 2020"t	"-Lack of structure
-Acts and operates as a Start-up
-Missing key tools to perform role effectively"t	"Really chill atmosphere in relation to goals and work/life balance."t	"MD"t	"Dec"
"84"t	"\"Operations\""t	"4.0"t	"Current Employee - IT Support"t	"Troutdale, OR"t	"December 14, 2020"t	"No real growth professionally or career advancement."t	"Opportunity, diversity, management, helpful associates"t	"OR"t	"Dec"
"85"t	"\"Outbound Demand Gen- Best in the business\""t	"4.0"t	"Current Employee - Distribution Supervisor"t	"Chicago, IL"t	"December 15, 2020"t	"The work is difficult on the body"t	"- Great pay
-Flexible work hours
-Cool projects and customers
-"t	"IL"t	"Dec"
"86"t	"\"Great company to work for. Have a stronger connection to my company’s core values and belief\""t	"4.0"t	"Current Employee - Manager, Data Engineering"t	"Chicago, IL"t	"December 14, 2020"t	"Mandatory overtime during christmas season"t	"Great benefits there are a lot of perks."t	"IL"t	"Dec"
"87"t	"\"Good job, hard but good pay\""t	"5.0"t	"Current Employee - Whs Specialist"t	"Rockford, IL"t	"December 15, 2020"t	"Nothing much, you should love a job to be successful in a workplace"t	"Work hard and you will like it here"t	"IL"t	"Dec"
"88"t	"\"Good money and benefits for easy work\""t	"5.0"t	"Current Employee - Amazon Process Assistant"t	"Indianapolis, IN"t	"December 13, 2020"t	"Have to work nights and weekends."t	"Benefits, decent pay, simple tasks"t	"IN"t	"Dec"
"89"t	"\"Amazon job\""t	"4.0"t	"Current Employee - Solutions Architect"t	"Irvine, CA"t	"December 14, 2020"t	"Just started not to long ago so still having some beginning struggles."t	"Many opportunities to work in different projects"t	"CA"t	"Dec"
"90"t	"\"Amazon ops\""t	"4.0"t	"Current Employee - Operations Associate"t	"Chicago, IL"t	"December 14, 2020"t	"Long hours and office politics might be involved."t	"Incredible growth opportunities, great people."t	"IL"t	"Dec"
"91"t	"\"Amazon\""t	"4.0"t	"Current Employee - Area Manager"t	"Elizabethtown, KY"t	"December 4, 2020"t	"Starting out, especially with Covid, is difficult"t	"Great work environment with lots of growth"t	"KY"t	"Dec"
"92"t	"\"Great Hourly Remote Position\""t	"4.0"t	"Current Employee - Virtual Customer Service Representative"t	"Detroit, MI"t	"November 30, 2020"t	"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability"t	"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid"t	"MI"t	"Nov"
"93"t	"\"Provider of Work\""t	"4.0"t	"Current Employee - Warehouse Worker"t	"Henderson, NV"t	"November 30, 2020"t	"Not friendly for single parents that need a flexible schedule."t	"You will always have work"t	"NV"t	"Nov"
"94"t	"\"ADULTING\""t	"2.0"t	"Current Employee - Anonymous Employee"t	"Salt Lake City, UT"t	"December 10, 2020"t	"Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY"t	"its all in the strength and abilities of the individual its a physical hard job."t	"UT"t	"Dec"
"95"t	"\"First Job, not bad\""t	"4.0"t	"Current Employee - Fufillment Associate"t	"Kent, WA"t	"December 3, 2020"t	"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled."t	"nice pay, time off if diagnosed with covid"t	"WA"t	"Dec"
"96"t	"\"Rating\""t	"3.0"t	"Current Employee - Crew Memebr"t	"Charlotte, NC"t	"November 18, 2020"t	"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand."t	"The managers and PAs are nice, my coworkers are also nice. Great benefits, low cost and great coverage. I got a 1 dollar pay raise within my first month of working and they really take covid precautions seriously. Overtime options are easy to get as long as you sign up for notifications. I have only worked for less than 3 months, yet I am eligible for a promotion (to afm)"t	"NC"t	"Nov"
"97"t	"\"Physically demanding lots of tedious rules\""t	"3.0"t	"Current Employee - Sortation Associate"t	"Philadelphia, PA"t	"December 1, 2020"t	"Constant reminders from management to hurry up, which is basically impossible with the current social distancing measures in place. It’s all about beating an algorithm vs actually doing your job well. Physically demanding, you will often be sore at the end of the day. Hard to get a covid test though they advertise they are available at any time. I’ve been trying for two weeks and the testing person is never at their table."t	"The job pays pretty good money and the people who work there are friendly and nice. They also offer a number of benefits for employees."t	"PA"t	"Dec"
"98"t	"\"Consistent Hours, and Decent Benefits, but So-So Culture and No Fun due to CoViD19 :/\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Florence, NJ"t	"December 2, 2020"t	"The 20/80 Rule that's fostered, waiting for transfers to open up, and that safety infractions can bar you for life."t	"Okay medical benefits. A lot of the people I work with are nice. The day goes by quickly when its busy."t	"NJ"t	"Dec"
"99"t	"\"In training\""t	"5.0"t	"Current Employee - Yard Marshall"t	"Chicago, IL"t	"November 17, 2020"t	"The hours can be a bit teaching at first but you get used to it."t	"40 hrs in 4 days is great, and they almost always have OverTime available, decent benefits especially for now-a-days FT gigs.  Their network is huge, so if one building isnt working out then you can transfer to another, also if you enjoying moving to different parts of the country can do that pretty easily too.  It's one of the biggest companys in the world."t	"IL"t	"Nov"
"100"t	"\"Great place to work\""t	"4.0"t	"Current Employee - Program Manager II"t	"Charleston, SC"t	"November 15, 2020"t	"Not enough diversity at the senior levels."t	"Company is rock solid and skyrocketing in growth worldwide. The job is important because it deals with employee safety as well as making sure the packages are one time to the customer."t	"SC"t	"Nov"
"101"t	"\"Stressful\""t	"4.0"t	"Current Employee - Warehouse Fulfillment Associate"t	"Chicago, IL"t	"December 13, 2020"t	"Warehouse work. Labor intensive. Hot"t	"Good insurance and benefits one day 1,full time with guaranteed hours,climate controlled warehouses,friendly co-workers."t	"IL"t	"Dec"
"102"t	"\"It's easy, can be repetitive\""t	"4.0"t	"Current Employee - Senior Operations Manager"t	"Cleveland, OH"t	"December 13, 2020"t	"Not too good 401k contribution, a lot of competitive teammates"t	"Quality pay, 3 days off is nice."t	"OH"t	"Dec"
"103"t	"\"Pretty good job!\""t	"4.0"t	"Current Employee - Learning Ambassador"t	"New York, NY"t	"December 13, 2020"t	"work/life, strange hours, low base pay"t	"Pay, people, benefits, free stuff"t	"NY"t	"Dec"
"104"t	"\"good\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Portland, OR"t	"December 13, 2020"t	"The initial shift is very late and not ideal"t	"work life balance is very good"t	"OR"t	"Dec"
"105"t	"\"Fun easy work\""t	"5.0"t	"Current Employee - Associate"t	"New York, NY"t	"December 12, 2020"t	"There are no cons that I can think of"t	"They have 3 $ extra pay for night during peak season"t	"NY"t	"Dec"
"106"t	"\"Great Growth Company\""t	"5.0"t	"Current Employee - QAE"t	"Memphis, TN"t	"December 12, 2020"t	"Steep learning curve. Ever growing service which also makes it very exciting"t	"there is room for exponential growth"t	"TN"t	"Dec"
"107"t	"\"Good management\""t	"4.0"t	"Current Employee - Inbound Stower"t	"Atlanta, GA"t	"December 12, 2020"t	"Can be physically demanding and must meet rates."t	"The benefits are amazing and affordable"t	"GA"t	"Dec"
"108"t	"\"Technical Training\""t	"4.0"t	"Current Employee - Digital Marketing Manager"t	"Seattle, WA"t	"December 12, 2020"t	"Any company that scales to this level will have guard rails in place that sometime stifle autonomy as a means of standardizing during rapid growth. But I’ve learned that if you know the details of your business and communicate well, you can often overcome the obstacle by proving ROI."t	"Good salary and great managers."t	"WA"t	"Dec"
"109"t	"\"Upward social mobility\""t	"5.0"t	"Current Employee - Order Picker"t	"Irvine, CA"t	"December 12, 2020"t	"Stressful job with a lot of responsibilities for little pay. Management changes out frequently,with good managers leaving often. Task and break tracking is unrealistic in most situations. Peak schedules will give you barely enough time to sleep/eat after commuting."t	"Culture of autonomy and team work. Fast pace and rewarded based on improving your team and efficiencies"t	"CA"t	"Dec"
"110"t	"\"Great place to work\""t	"5.0"t	"Current Employee - Technical Trainer"t	"Pendergrass, GA"t	"December 8, 2020"t	"Picking is the worst job as an associate"t	"Good reach
Encourage engineers to learn and grow
good pay"t	"GA"t	"Dec"
"111"t	"\"Pretty good job!\""t	"5.0"t	"Current Employee - Amazon Customer Service Associate"t	"Vancouver, WA"t	"December 9, 2020"t	"Shuffled around a lot, new managers a lot"t	"Pay, people, benefits, free stuff"t	"WA"t	"Dec"
"112"t	"\"good\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Bremerton, WA"t	"December 9, 2020"t	"Physical and demanding work, on feet all day"t	"work life balance is very good"t	"WA"t	"Dec"
"113"t	"\"Fun easy work\""t	"5.0"t	"Current Employee - Operations Manager"t	"Moreno Valley, CA"t	"December 10, 2020"t	"Certain Ops Manager positions are very demanding and can impact some work life balance if not managed effectively."t	"They have 3 $ extra pay for night during peak season"t	"CA"t	"Dec"
"114"t	"\"Great Growth Company\""t	"5.0"t	"Current Employee - Software Engineer"t	"San Jose, CA"t	"December 10, 2020"t	"Lot of competition makes you stressful"t	"there is room for exponential growth"t	"CA"t	"Dec"
"115"t	"\"Good management\""t	"4.0"t	"Current Employee - Any Position"t	"Salt Lake City, UT"t	"December 10, 2020"t	"Weird scheduling and hours for Peak"t	"The benefits are amazing and affordable"t	"UT"t	"Dec"
"116"t	"\"Technical Training\""t	"4.0"t	"Current Employee - Senior Technical Program Manager"t	"Seattle, WA"t	"December 10, 2020"t	"If you don't know how to say no then the workload can be overwhelming"t	"Good salary and great managers."t	"WA"t	"Dec"
"117"t	"\"Upward social mobility\""t	"5.0"t	"Current Employee - Project Manager"t	"Fountain Hills, AZ"t	"December 8, 2020"t	"Benefits are not as appealing as other tech companies"t	"Culture of autonomy and team work. Fast pace and rewarded based on improving your team and efficiencies"t	"AZ"t	"Dec"
"118"t	"\"Great place to work\""t	"5.0"t	"Current Employee - Transportation Associate"t	"Teterboro, NJ"t	"December 8, 2020"t	"Work life balance depending on your shift"t	"Good reach
Encourage engineers to learn and grow
good pay"t	"NJ"t	"Dec"
"119"t	"\"Hard work but it pays off!\""t	"5.0"t	"Current Employee - Web Developer"t	"Salt Lake City, UT"t	"December 9, 2020"t	"Weird hours for some positions"t	"Good pay and plenty of work to be done."t	"UT"t	"Dec"
"120"t	"\"Love Amazon\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Portland, OR"t	"December 9, 2020"t	"Hard work and very early mornings"t	"Has a positive environment, upbeat, aloof"t	"OR"t	"Dec"
"121"t	"\"Exellent\""t	"5.0"t	"Current Employee - Problem Solver"t	"Teterboro, NJ"t	"December 9, 2020"t	"Hard work and very early mornings"t	"Good benefits , good enviroment"t	"NJ"t	"Dec"
"122"t	"\"Great place\""t	"5.0"t	"Current Employee - Amazon Fulfillment Associate"t	"Salt Lake City, UT"t	"December 9, 2020"t	"Human Resources and leadership can be tough to deal with at times"t	"Easy atmosphere to work in"t	"UT"t	"Dec"
"123"t	"\"Good job\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Portland, OR"t	"December 9, 2020"t	"highly competitive space in here"t	"Fun place to work enjoyable"t	"OR"t	"Dec"
"124"t	"\"Great place. Long hours\""t	"5.0"t	"Current Employee - Software Development Engineer I"t	"Phoenix, AZ"t	"December 9, 2020"t	"Not a lot of cons, besides the commute"t	"Amazon pays well, but they work you very hard"t	"AZ"t	"Dec"
"125"t	"\"A Short Title\""t	"4.0"t	"Current Employee - Area Manager"t	"Somerset, NJ"t	"December 8, 2020"t	"lots of work to due"t	"efficient system and pays for overtime"t	"NJ"t	"Dec"
"126"t	"\"Great company\""t	"4.0"t	"Current Employee - Senior Financial Analyst"t	"Robbinsville, NJ"t	"December 8, 2020"t	"Pressure to succeed
Monotonous work sometimes"t	"Great benefits, pay, and flexibility of schedule."t	"NJ"t	"Dec"
"127"t	"\"good\""t	"4.0"t	"Current Employee - Senior Recruiter"t	"New York, NY"t	"December 8, 2020"t	"Extremely high expectations and high workload. No structure to most team"t	"money benefits self improvement status"t	"NY"t	"Dec"
"128"t	"\"Good place to work\""t	"5.0"t	"Current Employee - Learning Ambassador"t	"Charlotte, NC"t	"December 7, 2020"t	"Scattered, direction is lost from leadership at times"t	"Work hard and things will go well"t	"NC"t	"Dec"
"129"t	"\"Flexible company with lots of movement\""t	"5.0"t	"Current Employee - Amazon Area Manager"t	"Seattle, WA"t	"December 8, 2020"t	"It is a Physically demanding job."t	"Flexible environment where you set your own schedule"t	"WA"t	"Dec"
"130"t	"\"Crazy busy\""t	"5.0"t	"Current Employee - Dental Assistant"t	"Seattle, WA"t	"December 8, 2020"t	"Demanding, long hours, can easily lose motivation"t	"Work with some of the smartest people in the world"t	"WA"t	"Dec"
"131"t	"\"Great Advancement Opportunities\""t	"4.0"t	"Current Employee - Amazon Fulfillment Associate"t	"Memphis, TN"t	"December 7, 2020"t	"highly competitive space in here"t	"Solid job that pays the bills."t	"TN"t	"Dec"
"132"t	"\"Team meetings\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"Clear Brook, VA"t	"December 8, 2020"t	"Not a lot of cons, besides the commute"t	"Career growth opportunities, high energy, good benefits"t	"VA"t	"Dec"
"133"t	"\"Great\""t	"4.0"t	"Current Employee - Software Development Engineer I"t	"Seattle, WA"t	"December 8, 2020"t	"lots of work to due"t	"Good hours and competitive pay"t	"WA"t	"Dec"
"134"t	"\"Prime shopper\""t	"4.0"t	"Current Employee - Area Manager"t	"Miami, FL"t	"December 8, 2020"t	"Pressure to succeed
Monotonous work sometimes"t	"After working 30 days I was promoted to a position that best fit my skill set"t	"FL"t	"Dec"
"135"t	"\"Okayish\""t	"4.0"t	"Current Employee - Senior Financial Analyst"t	"Seattle, WA"t	"December 8, 2020"t	"Extremely high expectations and high workload. No structure to most team"t	"Working alone in such a big place can feel lonely"t	"WA"t	"Dec"
"136"t	"\"Excellent work experience\""t	"4.0"t	"Current Employee - Senior Recruiter"t	"Seattle, WA"t	"December 5, 2020"t	"Scattered, direction is lost from leadership at times"t	"A lot of opportunities and able to move around to various positions easily"t	"WA"t	"Dec"
"137"t	"\"work at Amazon\""t	"5.0"t	"Current Employee - Learning Ambassador"t	"Columbia, MD"t	"December 6, 2020"t	"It is a Physically demanding job."t	"Very flexible, and the shifts are short"t	"MD"t	"Dec"
"138"t	"\"Awesome company\""t	"5.0"t	"Current Employee - Amazon Area Manager"t	"San Diego, CA"t	"December 7, 2020"t	"Demanding, long hours, can easily lose motivation"t	"Base + Stock 200k, great salary for entry level"t	"CA"t	"Dec"
"139"t	"\"Great place\""t	"5.0"t	"Current Employee - Dental Assistant"t	"San Antonio, TX"t	"December 7, 2020"t	"Repetitive and the hours are long"t	"Gain experience to work with diverse AWS technologies"t	"TX"t	"Dec"
"140"t	"\"great place to work\""t	"5.0"t	"Current Employee - Safety Coordinator"t	"San Antonio, TX"t	"December 7, 2020"t	"The long 12 hour shifts can be a challenge at times"t	"good benefits for all associates"t	"TX"t	"Dec"
"141"t	"\"Awesome company\""t	"4.0"t	"Current Employee - Associate"t	"Las Vegas, NV"t	"December 8, 2020"t	"Too many hours. You barely have time for yourself"t	"salary, benefits, learning opportunities, co-workers"t	"NV"t	"Dec"
"142"t	"\"Great place\""t	"4.0"t	"Current Employee - Finance Analyst"t	"Avenel, NJ"t	"December 8, 2020"t	"Mundane work. The breaks are deceiving. Tiving 20 minute breaks when technically you only get 10 because of the walk from work station to break room"t	"Decent pay for the work you do"t	"NJ"t	"Dec"
"143"t	"\"great place to work\""t	"4.0"t	"Current Employee - Prime Amazon Shopper"t	"Indianapolis, IN"t	"December 8, 2020"t	"Eclectic mix of people working there. Lots of turnover. Hard work."t	"Lots of benefits from day 1. Able to transfer or move up in the company"t	"IN"t	"Dec"
"144"t	"\"Okay pay long hours\""t	"4.0"t	"Current Employee - Applied Scientist"t	"Akron, OH"t	"December 5, 2020"t	"Hard work and working on your feet"t	"Positive environment. Opportunity to advance for those who are motivated."t	"OH"t	"Dec"
"145"t	"\"Alot of work for the money\""t	"5.0"t	"Current Employee - Data Engineer"t	"Crest Hill, IL"t	"December 6, 2020"t	"HR is hard to contact at times in the past, but they recently hired a new team who is a lot better."t	"Good pay and it is every week"t	"IL"t	"Dec"
"146"t	"\"Great Place To Work\""t	"5.0"t	"Current Employee - Sortation Associate"t	"Carlsbad, CA"t	"December 7, 2020"t	"The work can be physically exhausting and hard on the body. This of course is a case by case con. At 50 it is harder on me than it would have been in my 20's or 30's.
Some people take advantage of the generosity and lack of restrictions and it infurioates me."t	"Best warehouse job i have had. Attentive management team who genuinely cares about you. The staff for the most part is knowledgable and the warehouse is breaking new record everyday."t	"CA"t	"Dec"
"147"t	"\"Good money\""t	"5.0"t	"Current Employee - Senior Product Manager"t	"Irving, TX"t	"December 7, 2020"t	"May not get a raise if you think you're entitled to it"t	"Job Security...Amazon is here to stay!
Personal and professional growth through variety of work experiences and team interactions.
Great pay and benefits.
Flexible scheduling.
Perks and extras...
So much about Amazon is amazing!!"t	"TX"t	"Dec"
"148"t	"\"Great\""t	"5.0"t	"Current Employee - Area Manager"t	"Seattle, WA"t	"December 7, 2020"t	"We are getting big and so our are challenges."t	"Such a large company with many opportunities for advancement"t	"WA"t	"Dec"
"149"t	"\"I love working at Amazon!!\""t	"4.0"t	"Current Employee - Ambassador"t	"Saint Peters, MO"t	"December 7, 2020"t	"Long hours during peak, main coaching focus is on what you’re doing wrong, getting into or out of the parking lot sometimes takes longer than the actual drive."t	"Opportunity to do really cool stuff"t	"MO"t	"Dec"
"150"t	"\"It's a great company!\""t	"4.0"t	"Current Employee - FC Associate I"t	"Beloit, WI"t	"December 6, 2020"t	"Hard to get recognized for other positions .
Competing with everyone to move up is a headache"t	"Social distancing, quick hiring process, very competitive starting wage, free shoes once hired, daily incentives to perform quickly/efficiently"t	"WI"t	"Dec"
"151"t	"\"Fun position\""t	"5.0"t	"Current Employee - Amazon Fresh Associate"t	"Avenel, NJ"t	"December 6, 2020"t	"Long hours during peak season"t	"Opportunity to do really cool stuff"t	"NJ"t	"Dec"
"152"t	"\"l\""t	"4.0"t	"Current Employee - Seasonal Full Time"t	"Indianapolis, IN"t	"December 5, 2020"t	"lack of direct narrative for job"t	"Social distancing, quick hiring process, very competitive starting wage, free shoes once hired, daily incentives to perform quickly/efficiently"t	"IN"t	"Dec"
"153"t	"\"Nice place\""t	"4.0"t	"Current Employee - Stower"t	"Akron, OH"t	"December 6, 2020"t	"Long shifts and short breaks"t	"Great benefits 
Great hours
Flexible time off options"t	"OH"t	"Dec"
"154"t	"\"Awesome place to work\""t	"4.0"t	"Current Employee - Sortation Associate"t	"Crest Hill, IL"t	"December 6, 2020"t	"Can feel chaotic when you initially join."t	"Career advancement with multiple choices"t	"IL"t	"Dec"
"155"t	"\"It is the best!\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Carlsbad, CA"t	"December 6, 2020"t	"It is very hard work which requires a lot of dedication lots of people will not want to put in."t	"accountability, leadership, structure, challenge and reward"t	"CA"t	"Dec"
"156"t	"\"Great job\""t	"5.0"t	"Current Employee - Associate"t	"Irving, TX"t	"December 4, 2020"t	"Lots of people and hard work"t	"Good money easy work days"t	"TX"t	"Dec"
"157"t	"\"Fast pace work\""t	"5.0"t	"Current Employee - Transportation Manager"t	"Seattle, WA"t	"December 4, 2020"t	"Long hours and some menial tasks"t	"Good if you enjoy big challenges and dynamic environments."t	"WA"t	"Dec"
"158"t	"\"Great company to work for\""t	"5.0"t	"Current Employee - Picker"t	"Saint Peters, MO"t	"December 4, 2020"t	"Job can be demanding sometimes"t	"Fast paced company with little to no power distance culture."t	"MO"t	"Dec"
