Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
69,12,Could be stressful working with highly competitive individuals,8,72.69,89.42,1.00,1.00,8.00,50.00,87.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,01,"You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.",33,6.27,99.00,1.00,80.64,11.00,15.15,93.94,60.61,24.24,18.18,0.00,0.00,18.18,0.00,0.00,6.06,3.03,9.09,18.18,0.00,6.06,6.06,24.24,3.03,0.00,0.00,3.03,0.00,3.03,3.03,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,12.12,3.03,3.03,6.06,3.03,0.00,6.06,3.03,0.00,0.00,3.03,3.03,3.03,0.00,0.00,0.00,9.09,0.00,3.03,3.03,3.03,0.00,0.00,18.18,3.03,3.03,0.00,0.00,3.03,12.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,3.03,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00
71,02,"The management process is abusive, and I'm currently a manager.  I've seen too much ""behind the wall"" and hate how our individual performers can be treated.  You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.",52,33.48,77.92,10.47,1.00,17.33,28.85,90.38,46.15,9.62,9.62,5.77,1.92,1.92,0.00,0.00,0.00,5.77,7.69,15.38,3.85,11.54,0.00,19.23,1.92,0.00,1.92,0.00,1.92,7.69,1.92,5.77,0.00,3.85,0.00,9.62,0.00,0.00,0.00,0.00,9.62,0.00,7.69,0.00,1.92,0.00,0.00,1.92,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,1.92,3.85,15.38,1.92,1.92,3.85,19.23,0.00,7.69,1.92,3.85,1.92,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,11.54,1.92,0.00,0.00,0.00,0.00,0.00,3.85,5.77,0.00,0.00
72,12,"- Can be overwhelming, very steep learning curve
- Can be difficult to keep up if you are not self motivated",19,12.81,50.00,50.35,1.00,19.00,21.05,89.47,57.89,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,10.53,26.32,5.26,5.26,5.26,26.32,5.26,0.00,0.00,0.00,0.00,10.53,0.00,10.53,5.26,0.00,5.26,10.53,0.00,0.00,0.00,0.00,21.05,10.53,5.26,5.26,5.26,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,5.26,5.26,0.00,5.26,0.00,31.58,0.00,5.26,0.00,5.26,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,5.26,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00
73,02,"No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.",88,15.39,18.16,46.36,46.73,8.00,17.05,89.77,54.55,19.32,7.95,6.82,1.14,0.00,0.00,0.00,11.36,5.68,7.95,13.64,6.82,5.68,3.41,17.05,10.23,4.55,0.00,0.00,1.14,10.23,5.68,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,9.09,1.14,1.14,0.00,2.27,1.14,4.55,2.27,0.00,1.14,1.14,2.27,0.00,2.27,0.00,0.00,12.50,1.14,5.68,3.41,2.27,2.27,2.27,19.32,0.00,7.95,0.00,7.95,0.00,4.55,0.00,0.00,0.00,0.00,0.00,3.41,0.00,0.00,3.41,0.00,0.00,29.55,5.68,6.82,0.00,0.00,3.41,3.41,2.27,0.00,6.82,0.00,1.14
74,12,"- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today.  It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.",122,35.29,94.03,7.35,71.88,17.43,16.39,90.98,59.02,17.21,9.02,0.82,0.00,8.20,0.00,0.00,8.20,9.02,9.84,14.75,3.28,7.38,2.46,17.21,3.28,1.64,0.00,1.64,0.00,4.10,3.28,0.82,0.00,0.00,0.00,13.11,0.00,0.00,0.00,0.00,9.84,1.64,0.00,3.28,4.10,0.00,2.46,4.10,0.00,0.82,1.64,3.28,0.82,1.64,0.00,0.82,8.20,2.46,3.28,3.28,1.64,0.00,1.64,13.93,2.46,10.66,1.64,4.92,4.10,5.74,1.64,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.82,0.00,18.85,5.74,4.10,0.00,0.00,0.00,0.00,1.64,0.00,5.74,1.64,0.00
75,04,Big company and yes sometimes it takes a while to find the information you are looking for.  Global company and sometimes that information is with someone who is on other side of the world.,34,74.42,92.92,99.00,25.77,17.00,23.53,100.00,58.82,17.65,2.94,0.00,0.00,2.94,0.00,0.00,14.71,8.82,14.71,8.82,0.00,8.82,0.00,17.65,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,0.00,0.00,0.00,0.00,20.59,8.82,0.00,0.00,8.82,0.00,2.94,2.94,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,2.94,2.94,0.00,0.00,14.71,0.00,23.53,0.00,14.71,8.82,5.88,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,2.94,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,12,Organizational skills are lacking bad,5,52.71,50.00,1.00,1.00,5.00,40.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,20.00,0.00,0.00,40.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,12,Long hours very fast paced,5,52.71,50.00,99.00,25.77,5.00,0.00,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,20.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,12,Work 10 hrs rate some time bad management,8,93.26,50.00,7.84,1.00,8.00,12.50,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,12.50,12.50,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,12,"poor communication, bad pay, had to work a lot of hours",11,99.00,81.84,2.40,1.00,11.00,9.09,100.00,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,18.18,9.09,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,9.09,18.18,0.00,18.18,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36,9.09,9.09,9.09,0.00,9.09,9.09,9.09,0.00,9.09,0.00,0.00,9.09,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,12,The pace and work-life balance relate to the organization (and team).,12,98.14,95.20,1.79,25.77,12.00,16.67,83.33,41.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,16.67,8.33,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,25.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,16.67,0.00
81,04,New hires tend to raise the bar which makes for a competitive promotion environment.,14,99.00,50.00,13.15,25.77,14.00,21.43,92.86,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,14.29,0.00,0.00,0.00,0.00,14.29,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,14.29,0.00,14.29,7.14,7.14,0.00,0.00,14.29,0.00,14.29,0.00,7.14,7.14,21.43,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,12,"Long hours, repetitive, tedious, high intensity",6,93.26,50.00,99.00,1.00,6.00,50.00,83.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,66.67,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,12,"-Lack of structure
-Acts and operates as a Start-up
-Missing key tools to perform role effectively",16,99.00,73.40,1.00,1.00,16.00,37.50,75.00,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,18.75,0.00,0.00,12.50,0.00,12.50,6.25,6.25,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,12.50,6.25,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00
84,12,No real growth professionally or career advancement.,7,29.30,1.00,99.00,25.77,7.00,28.57,85.71,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,28.57,28.57,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,12,The work is difficult on the body,7,99.00,50.00,13.15,1.00,7.00,14.29,100.00,57.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,28.57,0.00,14.29,0.00,0.00,14.29,0.00,28.57,0.00,14.29,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,12,Mandatory overtime during christmas season,5,99.00,50.00,99.00,25.77,5.00,60.00,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,60.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,12,"Nothing much, you should love a job to be successful in a workplace",13,93.26,93.79,1.00,99.00,13.00,23.08,92.31,61.54,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,15.38,15.38,15.38,0.00,0.00,7.69,15.38,7.69,0.00,0.00,0.00,7.69,15.38,15.38,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,15.38,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,7.69,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,12,Have to work nights and weekends.,6,62.04,50.00,98.01,25.77,6.00,16.67,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,12,Just started not to long ago so still having some beginning struggles.,12,6.95,4.80,99.00,1.00,12.00,25.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,25.00,8.33,8.33,16.67,0.00,0.00,0.00,0.00,8.33,8.33,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,16.67,0.00,0.00,41.67,0.00,8.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,12,Long hours and office politics might be involved.,8,11.86,89.42,74.76,25.77,8.00,25.00,100.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,12.50,12.50,25.00,0.00,12.50,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,12,"Starting out, especially with Covid, is difficult",7,93.26,50.00,89.63,1.00,7.00,42.86,85.71,57.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,28.57,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,28.57,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,11,"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability",72,72.69,33.83,58.07,2.09,72.00,23.61,91.67,51.39,6.94,4.17,0.00,0.00,4.17,0.00,0.00,2.78,0.00,22.22,12.50,1.39,6.94,6.94,19.44,0.00,0.00,1.39,2.78,1.39,2.78,0.00,2.78,1.39,0.00,0.00,4.17,0.00,0.00,0.00,0.00,16.67,2.78,4.17,4.17,5.56,0.00,5.56,1.39,0.00,0.00,0.00,4.17,0.00,2.78,0.00,1.39,11.11,0.00,2.78,2.78,4.17,1.39,1.39,20.83,1.39,18.06,2.78,6.94,8.33,6.94,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,5.56,0.00,0.00,0.00,0.00,0.00,2.78,2.78,0.00,1.39
93,11,Not friendly for single parents that need a flexible schedule.,10,93.26,50.00,3.37,99.00,10.00,40.00,100.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,20.00,10.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,12,Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY,26,33.48,6.21,17.46,89.84,13.00,26.92,80.77,50.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,3.85,7.69,0.00,19.23,3.85,11.54,3.85,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,0.00,3.85,3.85,3.85,11.54,11.54,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,11.54,0.00,3.85,3.85,7.69,0.00,0.00,15.38,3.85,7.69,0.00,3.85,3.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,12,"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled.",85,45.99,79.49,28.81,25.77,21.25,16.47,85.88,51.76,14.12,9.41,1.18,1.18,3.53,0.00,3.53,4.71,3.53,12.94,8.24,5.88,8.24,2.35,20.00,4.71,2.35,0.00,1.18,4.71,2.35,1.18,1.18,0.00,0.00,0.00,10.59,0.00,0.00,0.00,0.00,14.12,1.18,2.35,3.53,3.53,3.53,3.53,3.53,0.00,2.35,1.18,0.00,0.00,0.00,0.00,0.00,9.41,1.18,2.35,1.18,5.88,0.00,1.18,15.29,2.35,15.29,2.35,3.53,8.24,3.53,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.59,4.71,3.53,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00
96,11,"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand.",92,62.99,80.77,74.76,4.13,18.40,10.87,93.48,60.87,13.04,8.70,3.26,0.00,5.43,0.00,0.00,4.35,8.70,16.30,11.96,6.52,8.70,1.09,18.48,4.35,3.26,2.17,3.26,3.26,6.52,2.17,4.35,2.17,0.00,1.09,9.78,0.00,0.00,0.00,0.00,11.96,3.26,1.09,0.00,4.35,1.09,2.17,0.00,0.00,0.00,0.00,1.09,1.09,0.00,0.00,0.00,10.87,0.00,5.43,2.17,3.26,1.09,7.61,13.04,1.09,16.30,1.09,7.61,7.61,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.78,5.43,3.26,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00
97,12,"Constant reminders from management to hurry up, which is basically impossible with the current social distancing measures in place. It’s all about beating an algorithm vs actually doing your job well. Physically demanding, you will often be sore at the end of the day. Hard to get a covid test though they advertise they are available at any time. I’ve been trying for two weeks and the testing person is never at their table.",74,76.55,70.57,78.21,51.03,14.80,21.62,90.54,55.41,10.81,8.11,1.35,0.00,2.70,0.00,4.05,2.70,8.11,17.57,12.16,9.46,2.70,1.35,16.22,4.05,0.00,1.35,1.35,2.70,1.35,1.35,0.00,0.00,0.00,0.00,9.46,0.00,0.00,0.00,0.00,12.16,0.00,0.00,1.35,4.05,2.70,4.05,1.35,0.00,0.00,1.35,2.70,0.00,2.70,0.00,0.00,9.46,1.35,1.35,5.41,1.35,0.00,1.35,10.81,1.35,21.62,0.00,9.46,12.16,5.41,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,1.35,0.00,12.16,6.76,2.70,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00
98,12,"The 20/80 Rule that's fostered, waiting for transfers to open up, and that safety infractions can bar you for life.",21,87.62,82.96,37.24,95.81,21.00,19.05,80.95,47.62,14.29,4.76,0.00,0.00,4.76,0.00,0.00,9.52,4.76,19.05,9.52,0.00,4.76,0.00,14.29,0.00,0.00,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,4.76,0.00,4.76,14.29,0.00,0.00,9.52,0.00,4.76,0.00,14.29,0.00,19.05,4.76,9.52,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76
99,11,The hours can be a bit teaching at first but you get used to it.,15,84.62,74.76,82.75,25.77,15.00,6.67,100.00,60.00,13.33,6.67,0.00,0.00,6.67,0.00,0.00,6.67,13.33,13.33,13.33,0.00,6.67,0.00,20.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,6.67,6.67,6.67,0.00,6.67,20.00,0.00,20.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,11,Not enough diversity at the senior levels.,7,99.00,1.00,99.00,25.77,7.00,14.29,71.43,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,42.86,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
