Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
76,12,Big company with a small company feel.   Very entrepreneurial.  Management facilitates your ideas that push the business forward,18,93.26,98.62,98.01,25.77,6.00,38.89,94.44,33.33,11.11,5.56,0.00,0.00,5.56,0.00,0.00,5.56,11.11,5.56,0.00,5.56,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,5.56,0.00,22.22,11.11,16.67,5.56,27.78,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,12,"Good benefits , big company, every where",6,62.04,95.20,98.01,99.00,6.00,33.33,100.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,33.33,33.33,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,16.67,33.33,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,12,"Very smart people, you can learn a lot",8,38.60,99.00,7.84,99.00,8.00,0.00,100.00,50.00,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,12.50,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,12,"Experience, Resume builder, Decent pay",5,93.26,50.00,1.00,99.00,5.00,40.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,12,"Amazon is a great place to work, they have great hours and shift options and the benefits are amazing.",19,64.39,70.08,4.05,99.00,19.00,15.79,89.47,47.37,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,10.53,5.26,15.79,0.00,10.53,0.00,15.79,15.79,0.00,0.00,0.00,0.00,21.05,21.05,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,5.26,0.00,15.79,0.00,0.00,21.05,0.00,10.53,0.00,5.26,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,04,"Experience, Resume builder, Decent pay",5,93.26,50.00,1.00,99.00,5.00,40.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,12,"Amazon is a great place to work, they have great hours and shift options and the benefits are amazing.",19,64.39,70.08,4.05,99.00,19.00,15.79,89.47,47.37,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,10.53,5.26,15.79,0.00,10.53,0.00,15.79,15.79,0.00,0.00,0.00,0.00,21.05,21.05,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,5.26,0.00,15.79,0.00,0.00,21.05,0.00,10.53,0.00,5.26,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,12,Really chill atmosphere in relation to goals and work/life balance.,11,93.26,18.16,85.21,25.77,11.00,27.27,72.73,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,27.27,9.09,18.18,0.00,9.09,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09
84,12,"Opportunity, diversity, management, helpful associates",5,93.26,97.69,1.00,99.00,5.00,100.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,40.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,12,"- Great pay
-Flexible work hours
-Cool projects and customers
-",9,75.90,50.00,4.97,99.00,9.00,33.33,100.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,22.22,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,0.00,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,44.44,0.00,0.00,22.22,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,44.44,0.00,0.00,0.00,0.00,0.00,0.00,44.44,0.00,0.00,0.00,0.00
86,12,Great benefits there are a lot of perks.,8,93.26,50.00,1.00,99.00,8.00,12.50,87.50,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,12.50,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,12.50,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,12,Work hard and you will like it here,8,1.00,99.00,1.00,99.00,8.00,12.50,100.00,62.50,25.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,12.50,12.50,12.50,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,12,"Benefits, decent pay, simple tasks",5,93.26,50.00,1.00,99.00,5.00,20.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,12,Many opportunities to work in different projects,7,99.00,7.67,89.63,99.00,7.00,42.86,100.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,14.29,0.00,0.00,14.29,0.00,14.29,0.00,14.29,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,12,"Incredible growth opportunities, great people.",5,93.26,97.69,43.37,99.00,5.00,40.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,20.00,0.00,40.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,12,Great work environment with lots of growth,7,99.00,50.00,89.63,99.00,7.00,14.29,100.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,28.57,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,11,"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid",60,93.26,50.00,32.84,99.00,60.00,21.67,95.00,43.33,8.33,1.67,1.67,0.00,0.00,0.00,0.00,6.67,0.00,21.67,5.00,5.00,3.33,0.00,15.00,3.33,1.67,3.33,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00,1.67,1.67,1.67,5.00,3.33,3.33,3.33,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,16.67,1.67,6.67,3.33,5.00,0.00,1.67,11.67,1.67,13.33,1.67,5.00,6.67,20.00,0.00,3.33,8.33,0.00,0.00,3.33,0.00,0.00,0.00,3.33,0.00,15.00,0.00,13.33,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00
93,11,You will always have work,5,1.00,99.00,43.37,25.77,5.00,0.00,100.00,60.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,12,its all in the strength and abilities of the individual its a physical hard job.,15,99.00,74.76,1.00,99.00,15.00,26.67,100.00,53.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,20.00,13.33,0.00,0.00,6.67,0.00,0.00,13.33,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,12,"nice pay, time off if diagnosed with covid",8,99.00,10.58,99.00,99.00,8.00,12.50,87.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,12.50,12.50,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,11,"The managers and PAs are nice, my coworkers are also nice. Great benefits, low cost and great coverage. I got a 1 dollar pay raise within my first month of working and they really take covid precautions seriously. Overtime options are easy to get as long as you sign up for notifications. I have only worked for less than 3 months, yet I am eligible for a promotion (to afm)",70,71.84,33.41,62.17,98.56,14.00,17.14,85.71,48.57,10.00,10.00,7.14,0.00,1.43,0.00,1.43,0.00,4.29,15.71,7.14,7.14,8.57,0.00,14.29,12.86,5.71,0.00,4.29,1.43,11.43,8.57,2.86,0.00,0.00,1.43,4.29,0.00,0.00,0.00,0.00,4.29,0.00,0.00,0.00,1.43,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.57,0.00,5.71,4.29,10.00,0.00,2.86,10.00,0.00,12.86,0.00,7.14,5.71,11.43,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,5.71,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00
97,12,The job pays pretty good money and the people who work there are friendly and nice. They also offer a number of benefits for employees.,25,73.88,97.69,1.00,99.00,12.50,12.00,96.00,48.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,8.00,4.00,8.00,12.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,20.00,16.00,0.00,0.00,0.00,0.00,20.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,4.00,4.00,4.00,8.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,12,Okay medical benefits. A lot of the people I work with are nice. The day goes by quickly when its busy.,21,96.66,50.00,89.63,99.00,7.00,14.29,100.00,47.62,9.52,4.76,4.76,0.00,0.00,0.00,0.00,4.76,14.29,14.29,4.76,4.76,4.76,0.00,9.52,9.52,0.00,4.76,0.00,4.76,14.29,14.29,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,9.52,0.00,4.76,0.00,4.76,0.00,0.00,14.29,0.00,23.81,9.52,0.00,19.05,14.29,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,11,"40 hrs in 4 days is great, and they almost always have OverTime available, decent benefits especially for now-a-days FT gigs.  Their network is huge, so if one building isnt working out then you can transfer to another, also if you enjoying moving to different parts of the country can do that pretty easily too.  It's one of the biggest companys in the world.",66,40.71,56.02,70.57,99.00,22.00,21.21,84.85,54.55,10.61,6.06,0.00,0.00,3.03,0.00,3.03,4.55,6.06,12.12,12.12,9.09,9.09,1.52,12.12,4.55,3.03,0.00,6.06,1.52,9.09,9.09,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,12.12,0.00,0.00,3.03,6.06,3.03,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.58,0.00,1.52,3.03,3.03,0.00,0.00,13.64,1.52,21.21,3.03,10.61,7.58,6.06,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,4.55,6.06,0.00,0.00,0.00,0.00,3.03,0.00,1.52,0.00,0.00
100,11,Company is rock solid and skyrocketing in growth worldwide. The job is important because it deals with employee safety as well as making sure the packages are one time to the customer.,32,89.84,62.28,7.84,99.00,16.00,25.00,87.50,46.88,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,9.38,15.62,9.38,3.12,12.50,0.00,12.50,6.25,6.25,0.00,3.12,0.00,12.50,12.50,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,9.38,0.00,6.25,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,6.25,0.00,3.12,0.00,9.38,0.00,12.50,3.12,6.25,3.12,12.50,3.12,0.00,3.12,0.00,0.00,3.12,0.00,0.00,0.00,3.12,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,12,"Good insurance and benefits one day 1,full time with guaranteed hours,climate controlled warehouses,friendly co-workers.",17,93.26,88.03,91.95,99.00,17.00,47.06,88.24,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,11.76,0.00,17.65,11.76,0.00,0.00,0.00,0.00,11.76,0.00,5.88,0.00,0.00,11.76,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,5.88,0.00,5.88,11.76,0.00,0.00,0.00,0.00,29.41,0.00,11.76,17.65,17.65,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.41,5.88,17.65,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00
102,12,"Quality pay, 3 days off is nice.",7,93.26,50.00,89.63,99.00,7.00,14.29,71.43,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,28.57,0.00,14.29,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,12,"Pay, people, benefits, free stuff",5,52.71,97.69,1.00,99.00,5.00,20.00,100.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,12,work life balance is very good,6,18.82,50.00,1.00,99.00,6.00,16.67,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,12,They have 3 $ extra pay for night during peak season,10,93.26,84.14,93.30,25.77,10.00,0.00,80.00,40.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,30.00,0.00,0.00,30.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
106,12,there is room for exponential growth,6,62.04,50.00,98.01,25.77,6.00,16.67,83.33,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,33.33,16.67,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,12,The benefits are amazing and affordable,6,62.04,50.00,1.00,99.00,6.00,50.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,16.67,33.33,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,12,Good salary and great managers.,5,52.71,50.00,1.00,99.00,5.00,20.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
